,,0,1,2,3,4
I-positive,I-neutral,,,START,B-neutral,
I-negative,I-positive,,,START,B-neutral,
O,I-neutral,,,START,B-neutral,
B-neutral,B-negative,,,START,B-neutral,
B-negative,B-negative,,,START,B-neutral,
START,I-positive,,PRESTART,,,
I-neutral,I-positive,,,START,B-neutral,
B-positive,B-positive,,,START,O,
B-neutral,I-negative,,,START,B-neutral,
B-negative,I-negative,,,START,O,
O,B-neutral,,,START,B-neutral,
I-positive,B-neutral,,,START,B-neutral,
I-negative,B-positive,,,START,B-neutral,
START,B-positive,,PRESTART,,,
STOP,O,,,,,
I-neutral,B-positive,,,START,B-neutral,
B-positive,B-negative,,,START,B-neutral,
STOP,STOP,,,,,
B-positive,I-negative,,,START,B-neutral,
I-positive,I-positive,,,START,B-positive,
I-negative,B-negative,,,START,B-neutral,
O,I-positive,,,START,B-neutral,
I-neutral,B-negative,,,START,B-neutral,
START,B-negative,,PRESTART,,,
STOP,I-neutral,,,,,
START,I-negative,,PRESTART,,,
I-negative,I-negative,,,START,B-negative,
I-neutral,I-negative,,,START,B-neutral,
B-neutral,O,,,START,O,
B-negative,O,,,START,O,
B-neutral,STOP,,,,,O
B-negative,STOP,,,,,O
O,B-positive,,,START,B-positive,
STOP,B-neutral,,,,,
I-positive,B-positive,,,START,B-neutral,
B-neutral,I-neutral,,,START,O,
B-negative,I-neutral,,,START,B-neutral,
B-positive,O,,,START,O,
I-positive,B-negative,,,START,B-neutral,
B-neutral,B-neutral,,,START,B-neutral,
O,B-negative,,,START,B-negative,
STOP,I-positive,,,,,
O,I-negative,,,START,B-neutral,
B-positive,STOP,,,,,O
I-positive,I-negative,,,START,B-neutral,
B-negative,B-neutral,,,START,B-neutral,
START,O,,PRESTART,,,
I-negative,O,,,START,B-negative,
I-negative,STOP,,,,,I-negative
I-neutral,O,,,START,B-neutral,
B-positive,I-neutral,,,START,B-neutral,
STOP,B-positive,,,,,
I-negative,I-neutral,,,START,B-neutral,
B-neutral,I-positive,,,START,B-neutral,
B-negative,I-positive,,,START,B-neutral,
I-neutral,STOP,,,,,I-neutral
B-positive,B-neutral,,,START,B-neutral,
START,I-neutral,,PRESTART,,,
PRESTART,START,,,,,
I-neutral,I-neutral,,,START,B-neutral,
START,B-neutral,,PRESTART,,,
STOP,B-negative,,,,,
I-negative,B-neutral,,,START,B-neutral,
B-neutral,B-positive,,,START,B-neutral,
B-negative,B-positive,,,START,B-neutral,
I-neutral,B-neutral,,,START,B-neutral,
I-positive,O,,,START,B-positive,
O,O,,,START,O,
I-positive,STOP,,,,,I-positive
O,STOP,,,,,O
STOP,I-negative,,,,,
B-positive,I-positive,,,START,O,
